name,path,has_oms,has_carbon,has_hydrogen,has_atomic_overlaps,has_overcoordinated_c,has_metal,density
SOQHIR01_clean,/home/kevin/mof_core2/SOQHIR01_clean.cif,False,False,False,False,False,True,1.494309130849321
FALQIU_clean,/home/kevin/mof_core2/FALQIU_clean.cif,False,True,True,False,False,True,1.9776417450995225
POLBEX_clean,/home/kevin/mof_core2/POLBEX_clean.cif,True,False,False,False,False,True,1.9862489059730457
UDAXEF_clean,/home/kevin/mof_core2/UDAXEF_clean.cif,True,True,True,True,False,True,1.5343604313667702
LUXFUG_clean,/home/kevin/mof_core2/LUXFUG_clean.cif,True,True,True,False,False,True,1.0143768278031593
BAKJII_clean,/home/kevin/mof_core2/BAKJII_clean.cif,True,True,True,False,False,True,0.959330315918142
LATCIS_clean,/home/kevin/mof_core2/LATCIS_clean.cif,True,False,False,False,False,True,1.0370084471857104
TAJWAF02_clean,/home/kevin/mof_core2/TAJWAF02_clean.cif,False,True,True,False,True,True,1.3496775835918877
SARTIR_clean,/home/kevin/mof_core2/SARTIR_clean.cif,True,True,True,False,False,True,0.8418115717322839
IHERIY_clean,/home/kevin/mof_core2/IHERIY_clean.cif,False,True,True,False,False,True,1.3570871074000477
ULOJUC_clean,/home/kevin/mof_core2/ULOJUC_clean.cif,True,True,True,True,False,True,1.5597171996838888
OPAPOL_clean,/home/kevin/mof_core2/OPAPOL_clean.cif,True,True,True,False,False,True,1.610742100836136
NEHZIK_clean,/home/kevin/mof_core2/NEHZIK_clean.cif,True,True,True,False,False,True,1.2015363403926218
JIVSIR01_clean,/home/kevin/mof_core2/JIVSIR01_clean.cif,True,True,True,True,True,True,2.625963834980354
FIVYEP_clean,/home/kevin/mof_core2/FIVYEP_clean.cif,False,False,False,False,False,True,2.0333115061160436
VOPPAT_clean,/home/kevin/mof_core2/VOPPAT_clean.cif,False,True,True,True,True,True,1.4587745539513999
MAVRAE_clean,/home/kevin/mof_core2/MAVRAE_clean.cif,True,True,True,True,False,True,0.6104151341460577
MOJJUR_clean,/home/kevin/mof_core2/MOJJUR_clean.cif,True,True,True,False,False,True,1.3160455026503894
KOFPEB03_clean,/home/kevin/mof_core2/KOFPEB03_clean.cif,False,True,True,False,False,True,1.7715951039862632
CAKYAQ_clean,/home/kevin/mof_core2/CAKYAQ_clean.cif,True,True,True,False,False,True,2.048053490188664
TAJVIM_clean,/home/kevin/mof_core2/TAJVIM_clean.cif,False,True,True,False,True,True,1.3585329292876613
XIMPOA_clean,/home/kevin/mof_core2/XIMPOA_clean.cif,True,True,True,False,False,True,1.4546194340298697
WEVQUJ_clean,/home/kevin/mof_core2/WEVQUJ_clean.cif,True,True,True,False,False,True,1.4857497702040283
TIQGUW_clean,/home/kevin/mof_core2/TIQGUW_clean.cif,True,True,True,False,False,True,1.5770295841649984
UVUGAV_clean,/home/kevin/mof_core2/UVUGAV_clean.cif,True,True,True,False,False,True,1.5082314497491065
OLUROC_clean,/home/kevin/mof_core2/OLUROC_clean.cif,False,True,True,False,False,True,1.4916100036677091
RIVDIL_clean,/home/kevin/mof_core2/RIVDIL_clean.cif,False,True,True,False,False,True,0.7115671760548329
XUGDOU_clean,/home/kevin/mof_core2/XUGDOU_clean.cif,False,True,True,False,False,True,2.066417787263996
